keys,en,zh_CN,ja,zh_TW
languages,Languages,语言,言語,語言
about,About,关于,約,關於
description,"The Grwolf Smart Target is designed for shooting enthusiasts who want a convenient solution for practicing with airsoft, eliminating the hassle of going to the shooting range. Compared to the traditional target, the device has the following features, 
* Real-time hit point display allows you to track and score your shots instantly.
* Choose different drills with the same device, such as bill drill and free shooting, to enhance your shooting experience.","Grwolf 智能靶专为希望便捷练习软气枪的射击爱好者设计，免去了前往靶场的麻烦。与传统靶相比，该设备具有以下特点：
* 实时命中点显示，让您可以即时追踪射击并计分。
* 同一设备可选择不同的练习方式，例如枪枝练习和自由射击，提升您的射击体验。","Grwolfスマートターゲットは、エアソフトガンの練習に便利なソリューションを求める射撃愛好家のために設計されており、射撃場に行く手間を省きます。従来のターゲットと比較して、このデバイスは以下の機能を備えています。
* リアルタイムのヒットポイント表示により、射撃の追跡とスコアリングが瞬時に行えます。
* ビルドリルやフリーシューティングなど、同じデバイスで様々なドリルを選択できるため、射撃体験が向上します。","Grwolf 智能靶專為希望便捷練習軟氣槍的射擊愛好者設計，免去了前往靶場的麻煩。與傳統靶場相比，該設備具有以下特點：
* 即時命中點顯示，讓您可以即時追蹤射擊併計分。
* 同一裝置可選擇不同的練習方式，例如槍枝練習和自由射擊，提升您的射擊體驗。 "
copyright,© 2025 FlexTarget IPSC@Grwolf.com,© 2025 FlexTarget IPSC@Grwolf.com,© 2025 FlexTarget IPSC@Grwolf.com,2025 FlexTarget IPSC@Grwolf.com
ipsc,IPSC Drill,IPSC训练,IPSC,IPSC訓練
boot_camp,Boot Camp,训练营,ブートキャンプ,訓練營
leaderboard,Leaderboard,排行榜,リーダーボード,排行榜
options,Options,选项,オプション,選項
prev,Prev,上页,上页,上頁
next,Next,下页,ページ,下頁
start,Start,启动,启アニメーション,啟動
loading,Loading,加载中,ロード中,載入中
rules,IPSC Rules,IPSC训练规则,IPSC接続,IPSC訓練規則
target,Target,标靶,标靶,標靶
complete,Drill Completed,训练结束,训练结束,訓練結束
score,Score,得分,得分,得分
hit_factor,Hit Factor,射击系数,射击系数,射擊係數
fastest_shot,Fastest Interval,最快击发,最新の投稿,最快擊發
restart,Restart,再来一局,再来一局,再來一局
replay,Replay & Review,回放检查,再放检查,回放檢查
clear,Clear Shots,清屏,清屏,清螢幕
leaderboard,Leaderboard,排行榜,排行トレンド,排行榜
no,No.,序号,序号,序號
time,Time,时长,時間長,時長
fastest_t,Fastest,最快,一番嬉しい,最快
hit_factor_t,HF,系数,システム数,係數
timeout,TIMEOUT!,超时了，继续努力！,タイムアウト,超時了，繼續努力！
